Token.Kwd_using, text =  using
Token.Ident, text =  System
Token.Kwd_class, text =  class
Token.Ident, text =  JTest
Token.Kwd_public, text =  public
Token.Kwd_static, text =  static
Token.Kwd_void, text =  void
Token.Ident, text =  Main
Token.Ident, text =  DivideTester
Token.Ident, text =  dt
Token.Kwd_int, text =  int
Token.Ident, text =  i
Token.Ident, text =  i
Token.Kwd_while, text =  while
Token.Ident, text =  Console
Token.Ident, text =  WriteLine
Token.Ident, text =  i
Token.Ident, text =  Console
Token.Ident, text =  ReadInt
Token.Kwd_if, text =  if
Token.Ident, text =  i
Token.Kwd_break, text =  break
Token.Kwd_int, text =  int
Token.Ident, text =  j
Token.Ident, text =  j
Token.Kwd_int, text =  int
Token.Ident, text =  prime
Token.Ident, text =  prime
Token.Kwd_while, text =  while
Token.Ident, text =  j
Token.Ident, text =  i
Token.Kwd_int, text =  int
Token.Ident, text =  a
Token.Kwd_while, text =  while
Token.Ident, text =  a
Token.Ident, text =  i
Token.Kwd_if, text =  if
Token.Ident, text =  a
Token.Ident, text =  j
Token.Ident, text =  i
Token.Ident, text =  prime
Token.Ident, text =  a
Token.Kwd_if, text =  if
Token.Ident, text =  prime
Token.Kwd_break, text =  break
Token.Ident, text =  j
Token.Kwd_if, text =  if
Token.Ident, text =  prime
Token.Ident, text =  Console
Token.Ident, text =  WriteLine
Token.Kwd_else, text =  else
Token.Ident, text =  Console
Token.Ident, text =  WriteLine
